
Idle,0
Dragging,0.874
Idle,1.443
Tapping,1.88
Idle,1.886
Tapping,2.042
Idle,2.045
Tapping,2.157
Idle,2.16
Tapping,2.281
Idle,2.285
Tapping,2.58
Idle,2.582
Tapping,2.745
Idle,2.748
Tapping,2.899
Idle,2.903
Dragging,3.215
Idle,3.803
StatusGimKalah,4.42
Idle,0
Dragging,0.874
Idle,1.443
Tapping,1.88
Idle,1.886
Tapping,2.042
Idle,2.045
Tapping,2.157
Idle,2.16
Tapping,2.281
Idle,2.285
Tapping,2.58
Idle,2.582
Tapping,2.745
Idle,2.748
Tapping,2.899
Idle,2.903
Dragging,3.215
Idle,3.803
StatusGimKalah,4.42
Idle,0
Dragging,1.308
Idle,1.951
Dragging,2.526
Idle,2.959
StatusGimKalah,3.588
Idle,0
Dragging,0.827
Idle,1.177
Tapping,1.508
Idle,1.514
Tapping,1.657
Idle,1.66
Tapping,1.783
Idle,1.786
Tapping,1.876
Idle,1.879
Tapping,2.201
Idle,2.203
Tapping,2.389
Idle,2.392
Tapping,2.553
Idle,2.555
Flicking,2.85
Idle,2.853
Dragging,3.174
Idle,5.98
Flicking,6.409
Idle,6.412
Dragging,6.667
Idle,11.621
Pointing,13.176
StatusGimKalah,14.802
Idle,0
Dragging,0.876
Idle,1.417
Tapping,1.711
Idle,1.717
Tapping,1.863
Idle,1.867
Tapping,1.987
Idle,1.991
Tapping,2.247
Idle,2.25
Tapping,2.435
Idle,2.438
Tapping,2.624
Idle,2.627
Dragging,2.866
Idle,3.155
Flicking,3.447
Idle,3.45
Dragging,3.588
Idle,7.143
Dragging,7.472
Idle,11.55
Pointing,12.21
StatusGimKalah,14.461
Idle,0
Dragging,1.021
Idle,1.698
StatusGimKalah,2.301
Idle,0
Dragging,1.396
Idle,3.698
StatusGimKalah,4.26
Idle,0
Dragging,1.396
Idle,3.698
StatusGimKalah,4.26
Idle,0
Dragging,0.374
Idle,5.064
StatusGimKalah,5.639
Idle,0
Dragging,1.327
Idle,1.963
Dragging,2.486
Idle,2.729
Tapping,3.019
Idle,3.024
Tapping,3.176
Idle,3.178
Tapping,3.799
Idle,3.801
Tapping,3.947
Idle,3.95
Tapping,4.102
Idle,4.105
Tapping,4.273
Idle,4.275
Dragging,4.788
Idle,5.272
StatusGimKalah,5.88
Idle,0
Dragging,1.306
Idle,1.98
Dragging,2.131
Idle,2.67
Tapping,2.903
Idle,2.952
Tapping,3.07
Idle,3.073
Tapping,3.346
Idle,3.349
Tapping,3.547
Idle,3.549
Tapping,3.719
Idle,3.722
Tapping,3.861
Idle,3.867
Dragging,4.076
Idle,6.278
Dragging,6.51
Idle,12.075
Pointing,12.998
Idle,14.409
Dragging,14.677
Idle,15.271
Pointing,15.855
Idle,16.654
Dragging,16.942
Idle,17.364
Flicking,17.702
Idle,17.706
Dragging,18.834
Idle,19.411
StatusGimKalah,20.022
Idle,0
Dragging,0.718
Idle,1.249
Tapping,1.527
Idle,1.537
Tapping,1.917
Idle,1.92
Tapping,2.323
Idle,2.326
Dragging,2.859
Idle,3.722
